project_name,project_created,project_id,folder_name,folder_id,file_name,file_id,file_bytes
0201 Pilot nearshore habitat mapping using acoustic and visual techniques,2016-01-22 01:03:42.797,365872,Files,365873,NPRB.2002.01.xml,1561003,59017
0201 Pilot nearshore habitat mapping using acoustic and visual techniques,2016-01-22 01:03:42.797,365872,Files,365873,NPRB.2002.01.zip,1560999,3389479
0202 Application of new sonar technology to reducing salmon bycatch in pollock fisheries ,2016-01-22 01:04:51.506,367633,Files,367634,NPRB.2002.02.xml,1659270,20603
0202 Application of new sonar technology to reducing salmon bycatch in pollock fisheries ,2016-01-22 01:04:51.506,367633,Files,367634,NPRB.2002.02.zip,1659251,165534
0203 Continuation of long-term observations on Bering Sea shelf: biophysical moorings at sites 2 and 4,2016-01-22 01:06:53.134,370289,Files,370290,NPRB.2002.03.xml,1560451,13632
0203 Continuation of long-term observations on Bering Sea shelf: biophysical moorings at sites 2 and 4,2016-01-22 01:06:53.134,370289,Files,370290,NPRB.2002.03.zip,1560503,171552
0204 North Pacific Anadromous Fish Commission Salmon Tagging,2016-01-22 01:04:52.171,367646,Files,367647,NPRB.2002.04.zip,1560432,84848
0204 North Pacific Anadromous Fish Commission Salmon Tagging,2016-01-22 01:04:52.171,367646,Files,367647,NPRB.2002.04.xml,1560430,45934
0205 Genetic stock identification of western Alaska sockeye salmon,2016-01-22 01:05:34.630,368673,Files,368674,NPRB.2002.05.Genetic_Sockeye_Salmon.zip,1560544,250591
0205 Genetic stock identification of western Alaska sockeye salmon,2016-01-22 01:05:34.630,368673,Files,368674,NPRB.2002.05.Genetic_Sockeye_Salmon.xml,1560542,15323
0206 Integration of marine bird and mammal observations with the continuous plankton recorder program,2016-01-22 01:05:35.279,368682,Files,368683,NPRB.2002.06.zip,1561753,76623
0206 Integration of marine bird and mammal observations with the continuous plankton recorder program,2016-01-22 01:05:35.279,368682,Files,368683,NPRB.2002.06.xml,1561773,27116
0207 Detecting change in the Bering Sea ecosystem,2016-01-22 01:04:07.265,366592,Files,366593,NPRB.2002.07.SfcTempM2.xml,1561642,11812
0207 Detecting change in the Bering Sea ecosystem,2016-01-22 01:04:07.265,366592,Files,366593,NPRB.2002.07.IceRetreat.xml,1561634,9822
0207 Detecting change in the Bering Sea ecosystem,2016-01-22 01:04:07.265,366592,Files,366593,48c851b8136f4.zip,1561417,63973
0207 Detecting change in the Bering Sea ecosystem,2016-01-22 01:04:07.265,366592,Files,366593,NPRB.2002.07.WinterSSTPribs.xml,1561749,10937
0207 Detecting change in the Bering Sea ecosystem,2016-01-22 01:04:07.265,366592,Files,366593,NPRB.2002.07.IceCover.xml,1561688,9746
0207 Detecting change in the Bering Sea ecosystem,2016-01-22 01:04:07.265,366592,Files,366593,NPRB.2002.07.FavorableWind.xml,1561664,11013
